111	192
112	180
81	170
108	180
105	177
105	166
80	175
106	174
83	174
70	182
83	193
84	181
87	185
80	182
	88
	49
	63
	396
	407
	380
	377
	147
	40
	74
	61
	63
	105
	74
	130
	147
	39
	201
	150
	111
	162
	87
	125
	140
	290
	100
	40
	38
	62
	75
	89
	58
	61
	59
	61
	60
	50
	49
	48
	49
	48
	41
91	102
91	99
89	100
86	102
86	98
86	96
89	106
75	110
93	110
84	99
89	103
87	103
82	94
99	86
74	
83	
84	
80	
80	
84	
87	
84	
81	
92	
128	
84	
82	
86	
105	135
85	145
96	135
94	135
98	150
92	145
99	150
100	138
95	135
99	130
96	200
100	170
97	140
93	158
83	91
87	150
88	85
95	110
85	90
82	69
83	108
84	123
93	101
91	125
86	100
90	110
75	80
86	85
82	87
90	114
94	116
93	146
97	80
88	89
93	69
100	73
90	90
97	69
99	128
99	89
97	146
91	90
101	78
84	77
83	107
78	234
79	160
83	90
86	150
86	86
84	288
80	138
104	88
79	91
88	147
100	0
76	79
82	80
80	77
80	88
78	80
74	79
73	76
93	78
70	77
84	76
80	77
69	80
83	88
76	91
105	
105	
87	
87	
75	
75	
80	
87	
111	
85	
91	
93	
104	
93	
97	
83	
71	
80	
90	
79	
68	
75	
73	
89	
84	
95	
84	
82	
98	139
98	207
95	70
93	126
95	80
98	74
92	114
95	76
118	70
91	83
91	71
98	58
90	60
106	67
90	150
87	110
87	136
94	102
80	171
84	350
81	93
88	100
80	95
80	92
76	93
100	9
75	112
78	90
77	266
72	2262
74	431
74	349
73	361
69	350
75	313
72	344
71	298
78	288
73	293
86	343
72	319
86	306
82	200
105	184
99	359
96	199
96	178
93	309
105	245
102	189
97	208
102	200
105	204
100	180
106	200
101	173
96	194
110	55
102	69
97	45
103	47
102	45
99	48
103	45
96	85
100	152
98	68
100	48
94	123
108	55
66	127
87	85
62	102
69	125
60	156
82	99
65	85
63	86
64	86
66	110
65	90
61	81
84	77
63	99
93	63
96	75
110	64
79	57
78	52
86	84
106	56
97	210
110	58
84	60
85	55
86	84
81	57
84	63
75	80
89	90
91	83
106	88
79	85
82	92
94	85
76	400
75	81
81	73
82	200
86	93
104	69
98	105
70	120
72	71
76	78
103	110
99	118
51	112
111	95
106	202
130	63
76	110
87	123
67	81
64	200
66	143
98	75
93	74
85	88
99	181
90	105
91	93
80	123
84	103
92	160
90	105
91	103
86	103
84	125
89	150
102	112
136	87
122	85
130	87
106	80
134	80
119	77
160	100
98	96
120	86
109	98
99	224
101	95
148	134
91	92
46	146
84	88
95	137
92	88
93	99
97	98
88	115
87	85
102	111
94	85
85	107
103	94
93	101
102	97
103	71
150	70
96	54
116	151
145	68
122	50
131	67
98	55
85	120
85	111
94	171
90	220
92	127
78	56
77	35
82	59
86	54
88	135
84	320
78	106
78	117
80	116
84	39
79	161
78	48
83	39
78	97
85	46
77	50
86	46
81	40
84	35
81	36
85	34
84	34
82	33
82	31
81	30
85	28
74	33
83	117
79	58
90	58
76	80
91	157
77	85
80	56
108	90
82	200
56	136
81	106
77	160
83	42
89	51
81	248
111	68
84	67
89	68
78	69
71	71
72	70
74	77
71	107
73	69
63	314
73	77
73	133
70	72
73	81
86	84
85	129
92	161
90	173
97	131
91	204
100	256
102	138
91	92
91	84
100	88
93	78
91	88
96	113
